,description
Freelunch-AI,10xing the AI Engineer.
egnitionHamburg,Formula Student Team of TUHH. Building electric racecars since 2011 and autonomous racecars since 2016.
tildetown,code archive for tilde.town open source code. see git.tilde.town
PurpurProject,
elastic,
JuliaLang,The Julia Programming Language
numfocus,Non-profit organization promoting accessible and reproducible scientific and technical computing
modelica,Projects of the Modelica Association
PumasAI,Developing scientific leaders in drug development and clinical therapeutics
JuliaCon,The Julia Conference
JuliaGPU,GPU Computing in Julia
JuliaDiff,Differentiation Tools in Julia
JunoLab,Interesting Development Environment
QuantEcon,Open source code for quantitative economic modeling
UCIDataScienceInitiative,
JuliaComputing,
ReScience,Reproducible Science  is good. Replicated Science  is better.
conda-forge,"A community led collection of recipes, build infrastructure and distributions for the conda package manager."
JuliaString,Organization for Julia string handling packages
JuliaPlots,Data visualization in Julia
JuliaMath,Mathematics made easy in Julia
JuliaLabs,
JuliaInterop,Easy interoperability between Julia and other languages
SciML,Open source software for scientific machine learning
JuliaArrays,Custom array types (and utilities for building array types) for Julia
NieLab,"Mathematical, Computational, and Systems Biology"
osmosisfoundation,Open Source Modeling and Simulation Solutions
FluxML,The Elegant Machine Learning Stack
JuliaRegistries,
JuliaDynamics,"A Julia-based software organization for dynamical systems, nonlinear dynamics, complex systems and the complexities of the scientific life"
JuliaPDE,Methods for solving Partial Differential Equations in the Julia programming language
JuliaLinearAlgebra,A collection of linear algebra packages for the Julia Programming Language.
epirecipes,A cookbook of infectious disease transmission models
JuliaSymbolics,A fast and modern CAS for a fast and modern language
mitmath,educational materials for MIT math courses
MIT-AI-Accelerator,Official GitHub of the DAF-MIT AI Accelerator
JuliaHealth,"Using the Julia programming language to improve medicine, health care, public health, and biomedical research."
JuliaSIMD,
MIT-Adaptive-Radio-Science,
ODINN-SciML,Global climate-glacier interactions modelling with Universal Differential Equations
SWQU,
Neuroblox,
JuliaChemicalReactions,An organization focused on development of chemical reactions tools
JuliaEpi,Computational epidemiology in @JuliaLang.
PumasAI-Labs,"One powerful platform, Infinite potential."
JuliaDispatch,Stay tuned! (hehe)
DyadLang,Hardware Engineering at the speed of Software
JuliaGraphs,Graph modeling and analysis packages for the Julia programming language
InPhyT,"Complex Systems Modelling Group: Computational Social Science, Epidemiology and Neuroscience."
BayesianDataAnalysisJulia,"@JuliaLang implementation of concepts, methods and examples from ""Bayesian Data Analysis"" by Gelman, Carlin, Stern, Dunson, Vehtari and Rubin."
NeuronalDynamicsJulia,"@JuliaLang implementation of models and exercises from the ""Neuronal Dynamics"" book and course by Gerstner, Kistler, Naud and Paninski."
JuliaEpi,Computational epidemiology in @JuliaLang.
enurgen,Deep-tech software defining utility-scale solar systems of tomorrow.
ScavixSoftware,
wpoa,Integrating openly licensed literature with Wikimedia projects
JATS4R,JATS for reuse
FAIR-Data-EG,
UVA-DSI,"Making sense of data, and helping others learn to do so"
OpenScienceRoadmap,"A community collaborating to advance nonprofit, open-source tools for science."
FellowsFreiesWissen,
WDscholia,scholarly profiles based on Linked Open Data from Wikidata
QIDSOD,"A research project led by Jundong Li and Daniel Mietchen, University of Virginia."
savethechildrenhackathon,
InvasionBiologyHypotheses,
digital-botanical-gardens-initiative,
beehind,
ACoM-RWTH,Research lab for applied and computational mathematics at RWTH Aachen University
satRdays,Accessible R conferences around the world 🤗📊👩‍🏫🙋‍♀️🙋‍♂️➰🌍
Gradure-Inc,
Riodigital-de,
leonard-lab,
codalab,
PrivacyLabs-AI,
IgnitedAndExploded,
BYteWareGmbH,
code-for-venezuela,
mammut-io,ML - Computational Linguistics - NLP - NLU - Chatbots
openego,open electricity Grid optimization
oemof-heat,Modelling energy systems with focus on heat and power-to-heat using oemof
EPSRC-DIGEST,
publiccodenet,We enable public-purpose software and policy that is open and collaborative.
SciML,Open source software for scientific machine learning
casbin,Casbin authorization library and the official middlewares
casdoor,An Identity and Access Management (IAM) / Single-Sign-On (SSO) platform with beautiful web UI and the official client SDKs
SciFracX,Make fractional order computing and modeling easier than ever.
trixi-gpu,GPU acceleration for hyperbolic PDEs in Julia
chalk-lab,Hong Ge's Research Group at Cambridge University
Zenmo,
psas,Open source aerospace project out of Portland State University.
JuliaEnergy,
PIK-ICoNe,"Dynamics, stability and resilience of complex hybrid infrastructure networks"
collective,Plone/Volto add-ons shared code repositories
beerjs,"visit the ""meta"" repo for info"
EpicGames,
Quora-Users,Unofficial Quora users group on GitHub
opprDev,oppr Developer Team
opprEdu,oppr Education Team
opprGroup,oppr Group
MIMBCD-UI,A Medical Imaging study for Multimodality of Breast Cancer Diagnosis on a novel User Interface.
ETIST,Equipa de Ténis do Instituto Superior Técnico
HPQC-LABS,"High Performance & Quantum Computing. We solve problems on classical & quantum computers. Areas are: Physics, Chemistry, Health Science, Medicine, Computation"
mida-project,A Medical Imaging for a Diagnostic Assistance.
BreastScreening,
sipg-isr,Signal and Image Processing Group -ISR research group
BreastScreeningAI,
FRESNA,Repository of FRESNA (FIAS Renewable Energy Systems & Network Analysis)
EpicGames,
NVIDIAGameWorks,NVIDIA Technologies for game and application developers
EddieHubCommunity,"Community of inclusive Open Source people - Collaboration 1st, Code 2nd! Join our GitHub Org 👇 "
AccessibleForAll,Making accessibility accessible for everyone!
Posh-Pixel-Studio,Software Company
UIU-Developers-Hub,"A collaborative developers community at United International University, fostering innovation and skill development."
Kognifyy,
Opexilo,Software Company
CREA-ETSIDI,"Somos una asociación de estudiantes en la ETSIDI, UPM. Nos apasiona el mundo tecnológico y la programación."
LEEM-UPM,
Cyber-Edux,
Dobslit-projects,
OpenEnergyPlatform,The Open Energy Family and Open Energy Platform
NFDI4Energy,National Research Data Infrastructure for the Interdisciplinary Energy System Research
open-pv,Building the open source website openpv.de to evaluate the solar potential of your building :sunny:
SkyImageNet,
RAMP-project,Stochastic multi-energy load profiles
oemof,Open Energy Modelling Framework - A modular open source framework to model energy supply systems
teambi0s,"Indian Security & CTF team from Amrita Vishwa Vidyapeetham, Amritapuri"
TuringLang,Bayesian inference with probabilistic programming
NREL,
government,"A collaborative community for sharing best practices in furtherance of open source, open data, and open government efforts"
NREL-Sienna,Open Source Tools for Scientific Energy Systems Analysis
PKU-MARL,"RL Research Group, Institute for AI @ Peking University"
PKU-Alignment,"Loves Sharing and Open-Source, Making AI Safer."
zkjs,WE DO PUSH UPS
pylogic,
Ouch-Metaverse-Dao,"Ouch is an upcoming sensorial metaverse project leveraging web3, AI and VR tools (OVR, haptics, etc) for creating social and dating experiences"
CDC-UI,Cyber Defense Club at the University of Idaho
RADICL,Reconfigurable Attack Defend Instructional Computing Laboratory
QueSDP,Studying applications of semi-definite programming in queuing theory
tsinghua-TEEP,An educational program aiming to resolve the Tsien's question.
powsybl,Power System Blocks
Baltic-RCC,Baltic RCC is an Electricity grid security service provider for Baltic System Operation Region (SOR)
chargebyte,
BBHConsulting,
hiba-awad-phd,
UniK-INES,"Department Integrated Energy Systems, University of Kassel"
DNAProject,
ontio,A New High-Performance Public Chain Infrastructure & A Distributed Trust Collaboration Platform
numfocus,Non-profit organization promoting accessible and reproducible scientific and technical computing
OpenMined,
oahmedlab,
NeuroHackademy2024,
openego,open electricity Grid optimization
acm-uiuc,University of Illinois Urbana-Champaign ACM Chapter @reflectionsprojections @hackillinois @sigmusic @sigpwny @SIGMobileUIUC @sigaida @gnulug
ChoateProgrammingUnion,A student-run club at Choate Rosemary Hall dedicated to all thing programming.
mggg,A nonpartisan research organization studying applications of geometry and computing to U.S. redistricting. See also @mggg-states for data and @gerrymandr.
open-source-at-illinois,"Official GitHub organization of Open-Source @ Illinois, a student-run club at the University of Illinois at Urbana-Champaign"
Illinois-Theorem-Provers,
Athena-Types,Wiser types for numerical analysis.
BTU-EnerEcon,BTU Chair of Energy Economics
GreenDealUkraina,"Berlin and Kyiv-based climate and energy think tank that supports Ukrainian governmental institutions, policymakers, experts, and wider society."
GeoNode,
GSA,The U.S. General Services Administration
project-open-data,
government,"A collaborative community for sharing best practices in furtherance of open source, open data, and open government efforts"
DistributedOpenUnifiedGovernmentNetwork,DEPRECATED US Gov Projects creating an Open Source and Open Standards-based Open Data Infrastructure
DOE-NEPA,Program to provide Department-wide Shared Services using only Free and Open Source Software
opencontrol,
ARMed-Docker,"A collection of dockerfiles, docker services, kubernetes services, and x86 to ARM resources for hobby and sport FORK UPSTREAM NOT HERE"
digitalgov,Digital Resources for the U.S. Federal Government
GSA-TTS,
OpenModelica,
DEA-GR,The Centre for Global Cooperation. We share best practice from decades of green transition in Denmark through government-to-government collaboration.
hudson-and-thames,"Our mission is to promote the scientific method within investment management by codifying frameworks, algorithms, and best practices."
Schumix,Schumix Projects
gridlab-d,GridLAB-D is a distribution level power system simulator designed to allow users to create and analyze smart grid technologies.
rnajena,
MechatronicsBlog,"Artificial intelligence, programming and embedded devices"
Energies-citoyennes-en-Pays-de-Vilaine,
llvm,This is the LLVM organization on GitHub for the LLVM Project: a collection of modular and reusable compiler and toolchain technologies.
Infopy,Study group for functional and object oriented programming (FOP)
evemondevteam,
vscode-icons,Comprehensive icon extension for Visual Studio Code
xenia-project,Xbox 360 Emulator Research Project
FreeOpcUa,Open Source Rust and Python OPC-UA Libraries
ZeroTwentyFifty,ZeroTwentyFifty is a Commercial Open Source Software (COSS) company building solutions for the exchange of product-level carbon accounting data.
codecentric,
llvm,This is the LLVM organization on GitHub for the LLVM Project: a collection of modular and reusable compiler and toolchain technologies.
curiositas-books,
Alliander,Alliander werkt aan de energie van vandaag en morgen
alliander-opensource,Open Source repositories from Alliander. Interested? Send us an e-mail!
NBility-Model,
lfenergyarchitecturemodel,
ospo-nl,"Open Source Program Office collaboration, best practices of NL parties"
PowerGridModel,Steady-state distribution power system analysis
sysmodel,System-Level Model Development Engineering Lab: Bringing Clarity to Complex Systems
EnergyModelsX,
flipdot,"CCC-Erfa, Hackspace"
ListenerApproved,
typed-typings,"Deprecated, use @types. The collection of TypeScript definitions"
bij1,politieke beweging van radicale gelijkwaardigheid en economische rechtvaardigheid. hoofd repo's op https://code.bij1.org. data science -> @bij1data.
haraka,Haraka Mail Server
JuliaLang,The Julia Programming Language
JuliaStats,Statistics and Machine Learning made easy in Julia
JuliaSparse,Sparse matrix capabilties in the Julia Programming Language
JuliaGraphics,
JuliaIO,A collection of Julia packages for unified IO infrastructure
JuliaPackaging,Tooling for Julia's binary packages and dependencies
JuliaMath,Mathematics made easy in Julia
JuliaDocs,Documentation-related packages for Julia.
JuliaData,"Data manipulation, storage, and I/O in Julia"
JuliaRegistries,
JuliaStrings,
JuliaDebug,
JuliaTesting,Testing tools for the Julia language
rezometz,The association in charge of providing an Internet access to CentraleSupélec (Metz) students
comet-robot,
bible-sacy,Sources du site https://bible.sacy.be qui permet de consulter des numérisations effectuées par Google de la Bible de Sacy (ou de Port-Royal)
ChaosSchulInformatiker,Some very cool guys from the school class Q12
Valama,
Cedgetec,
flojoy-ai,Joyful visual programming in Python
latenthost,
PowerGridModel,Steady-state distribution power system analysis
netz39,Magdeburger Hackerspace
FreifunkMD,
nettworks-e-V,
graphql-rust,
JuliaCommunity,Organizing Julia Community Initiatives
geem-lab,⚛️📈 Molecular Electronic Structure Group
JuliaChemicalReactions,An organization focused on development of chemical reactions tools
WebSearchMol,
HartreeFoca,A computational chemistry software based on McMurchie Davidson and Neural Networks
ENVIRO-Module,
LIVENlab,"These are the research and education repositories of the Research lab on environmental assessment for the energy transition, based at ICTA-UAB"
OrganizacaoRamalho,
openego,open electricity Grid optimization
rl-institut,
ReeemProject,Role of technologies in an energy efficient economy – model based analysis policy measures and transformation pathways to a sustainable energy system
OpenEnergyPlatform,The Open Energy Family and Open Energy Platform
NFDI4Energy,National Research Data Infrastructure for the Interdisciplinary Energy System Research
protontypes,A Free Community Accelerating Open and Sustainable Technology
Autonomous-Logistics,An Organisation at StreetScooter and DPDHL
opencorridor,Democratising sustainability intelligence 🌐🌎
open-energy-transition,Non-profit that accelerates the energy transition with open data and open source software solutions.
inveniosoftware,
EpicGames,
e-sensing,e-Sensing: Big Earth observation data analytics for land use and land cover change information
dataAt,
terrabrasilis-research-data,"TerraBrasilis Research Data a platform for Earth observation scientific data sharing, that integrates tools for storage, catalog, management and dissemination."
ICan-js,ICan.js é uma biblioteca que utiliza técnicas de Aprendizado Profundo para realizar a criação de recursos assistivos para a web.
geo-knowledge-hub,An open-source digital library for Earth Observations applications
storm-platform,Supporting Open Science practices for Earth Observations applications
m3nin0-labs,"This space is dedicated to exploring new technologies, and sharing discoveries."
IDAES,Institute for the Design of Advanced Energy Systems
CCSI-Toolset,The Carbon Capture Simulation Initiative (CCSI) Toolset is a suite of computational models for carbon capture equipment and design processes.
frdedynamics,Robotics research at HVL Førde.
energy-modelling-toolkit,A fully open inter-institutional energy modelling group. It serves as an umbrella organization that hosts open datasets and models.
IIT-EnergySystemModels,
PythoningCLUB,
coala,
ALSETLab,"This organization hosts projects of ALSETLab, Prof. Luigi Vanfretti's research team @ RPI"
ISFH,
Treecom,
eclipse,
EIPStackGroup,Open Source EtherNet/IP implementations
eclipse-4diac,
SENECA-UDEA,
microsoft,Open source projects and samples from Microsoft
dotnet,Home of the open source .NET platform
MicrosoftEdge,"Microsoft Edge open source projects - demos, tools, data"
MicrosoftWHATWGContributors,
NREL,
BuildingPerformanceSimulation,Community discussion and development of building performance simulation topics and tools.
InteragencyHotshotCrews,
itesla,
OpenIPSL,An team of collaborators developing the OpenIPSL Modelica library for power system simulations and other related oss projects in power system modeling and sim.
groupoasys,
ipython,interactive computing in Python
NREL,
OST-Stud,"Wenn du das erste mal auf @OST-Stud bist, sieh dir das Repo Willkommen an. Bei Fragen, E-Mail an  fachschaft-e@ost.ch"
openhsr,Wir fördern die Open Source Community und alternative Betriebssysteme an der HSR.
UNSW-CEEM,
Tithibots,Python Bots
TrashMate,
Indian-Online-Education-Environment,
NLeSC,
DeepRank,
TUfast-TUD,Project for TUfast Browser Extension
ex-1-610B,fantastic dorm full of nerds and neet
xmake-io,🔥 Xmake is a cross-platform build utility based on Lua
CloudPSS,CloudPSS 团队
EddieHubCommunity,"Community of inclusive Open Source people - Collaboration 1st, Code 2nd! Join our GitHub Org 👇 "
sciflydev,
dss-extensions,Language interfaces and extensions for an alternative implementation of EPRI's OpenDSS
Porake,
RWTH-EBC,
opendilab,Open-source Decision Intelligence (DI) Platform
NonlinearArtificialIntelligenceLab,
BONSAMURAIS,An organisation dedicated to create and maintain a truly global Open Source Database for product footprinting
Uverciti,
opensistemas-hub,
aereset,
cloudpipe,
CojoCompany,
Soundphy,
markdownreveal,
Bulebots,
sphinx-contrib,A collection of Sphinx extensions maintained by their respective authors. It is not an official part of Sphinx.
open-robosports,
micromouseworld,
picopod,"Suonare male, vivere meglio."
mobility2consumer,The safest service to move you and everything you want #EUvsVirus
cvut,"This GitHub organization is currently managed by FEE (jirutjak), but any other faculty is welcome to join it and propose their admin(s)."
eForceDriverless,
whadoo,
eforcefee,Formula Student Electric Team 🔋🔋 | 🇨🇿Czech Technical University in Prague | Faculty of Electrical Engineering
coding-competition-2019,
Covirusd,Worldwide COVID-19 Coronavirus Disease collaboration
Military-Tactical-Graphics,
tedai-hackathon,This org will host the code produced by the participants of the TED AI Hackathon 2023 in collaboration with the LF AI & Data Foundation.
LIMESS-Sustainability-Lab,LIMESS Sustainability Lab at CTU in Prague
SUSTC,"SUSTech, Shenzhen, China"
KSP-CKAN,
CoreRC,Yet another robot middleware in Rust.
RoundPegs9,
drorlab,Ron Dror's computational biology laboratory at Stanford University
agoenergy,"Agora Energiewende is a think tank that develops evidence-based and politically viable strategies to advance the goal of climate neutrality in Germany, Europe, "
startable,
RITRedteam,Various public projects from RITSEC Redteam members. ALL PROJECTS ARE PROVIDED AS IS WITH NO WARRANTY.
ritsec,"RITSEC is a student run club at Rochester Institute of Technology. For the redteam repositories, check out https://github.com/ritredteam/"
ml6team,Leading European AI organization
spec-first,
sat-clique,
wasmi-labs,Developers of the Wasmi WebAssembly interpreter and associated projects.
IDAES,Institute for the Design of Advanced Energy Systems
BieglersGroup,
Schraml,Führender Anbieter für Prozessleitsysteme und Fernwirktechnik
ropensci,Tools and R Packages for Open Science
MassAtLeeds,
npct,Building the Propensity to Cycle Tool for the UK's Department for Transport
itsleeds,
geocompr,
ATFutures,Active Transport Futures
dynawo,
wearehx,
CaroleBaskin,
JuliaEnergy,
oemof,Open Energy Modelling Framework - A modular open source framework to model energy supply systems
wind-python,
Kozea,We build open source software that you will love.
DAISEE,Open design program for people who consider energy as a commons. We're going to build the 'internets of energy'.
UW-SASWE,"Sustainability, Satellites, Water and Environment"
NetbeheerNederland,Netbeheer Nederland is de brancheorganisatie van alle elektriciteit- en gasnetbeheerders van Nederland.
lf-energy,Bringing open source to the energy sector
com-pas,61850 SCL management and configuration tool
openscd,
netlogix,Digital Platform Architects
confluentinc,Real-time streams powered by Apache Kafka®
carbonplan,Data and science for climate action
cdrxiv,Preprints and Data for Carbon Dioxide Removal
GreatTM,
JabRef,
moja-global,Open source tools to support sustainable land use
powsybl,Power System Blocks
RISPLab,"With RISP, no RISK. Do Planning, to prevent Killing."
modelica,Projects of the Modelica Association
glugnith,"GNU/Linux Users Group is the open-source community of the National Institute of Technology, Hamirpur, India."
JuliaGeo,Geospatial packages for Julia
QuantumBFS,A group of quantum developers around Bao Fu Si (Temple). We will also be distributed somewhere in the world since we are quantum developers.
istenith,ISTE Students' Chapter NIT Hamirpur
JuliaAnimators,Easily construct informative and winsome animated graphics in Julia
Resurgencenithamirpur,Esports Club NIT Hamirpur
EpicGames,
NVIDIAGameWorks,NVIDIA Technologies for game and application developers
starmatrixtech,Advancing the field of deep technology
JuliaLang,The Julia Programming Language
recursecenter,
JuliaQuant,
JuliaDatabases,Various database drivers for Julia
JuliaComputing,
JuliaIO,A collection of Julia packages for unified IO infrastructure
NYU-MSDSE-SWG,
JuliaML,Julia packages for Machine Learning
JuliaTime,Date and Time libraries for the Julia Language
JuliaData,"Data manipulation, storage, and I/O in Julia"
JuliaCrypto,Cryptography made easy in Julia
JuliaCloud,Cloud service interfaces for Julia
JuliaStrings,
JuliaActuary,Actuarial science and modeling packages.
JuliaLangSlack,Projects built to enable the Julia Lang community Slack workspace
JuliaActions,Please visit https://github.com/julia-actions
JuliaTesting,Testing tools for the Julia language
JuliaRNGs,
JuliaVersionControl,
JuliaFolds2," JuliaFolds2 is the forked successor to JuliaFolds, and hosts Julia packages for sequential and parallel fold (aka reduce) algorithms"
googlers,Googlers on GitHub
MicroGridsPy,
Ubar,
lab10-coop,Sustainable blockchain solutions to co-create a zero-carbon society.
artis-eco,
nsec,Applied Security Competition
pnfsoftware,"Sample code, scripts and plugins for JEB Decompiler - Twitter @jebdec"
powsybl,Power System Blocks
OrderlyNetwork,The permissionless liquidity layer for Web3 trading
spine-tools,Open source modelling tools
acep-uaf,ACEP is based at University of Alaska Fairbanks and is dedicated to applied energy research and testing focused on lowering the cost of energy.
UAFCSC,
hackforthesea,Hack for the Sea is a hackathon community based around marine science and ocean conservation
akdevalliance,
uaf-hackathon,Organization for the UAF Hackathon Committee.
aksbdc,
atom-community,Brings an integrated development environment to Atom
vcsdclub,Valley Christian High School's Software Development Club
SalonDesDevs,Communauté française de développement
RPM-Outpost,"RPM Packages for Fedora, OpenSUSE and Mageia"
alumet-dev,"Development of the ALUMET measurement software for efficient and sustainable computing (Adaptive, Lightweight, Unified Metrics)"
PROSOZ,
JabRef,
esk8b,Opensource Elektro-Skateboard Projekt
arras-energy,
syncpoint,
dodevops,Tools by DevOps architects for DevOps architects
EXXETA,"Exxeta challenges the traditional concept of consulting and tech. We love making an impact, with digital services powered by passion and new perspectives."
NIFVentures,
voytekresearch,Code & projects from the Voytek lab at UC San Diego.
COGS108,Course materials for Data Science in Practice
COGS18,COGS18: Introduction to Python
fooof-tools,Parameterizing Neural Power Spectra
lisc-tools,Automated collection & analysis of scientific literature.
neurodsp-tools,Digital signal processing for neuroscience.
bycycle-tools,Cycle-by-Cycle analyses of neural oscillations.
openlists,Curated lists of Open Resources.
structuredscience,"Tools, templates, tips & tricks for organized science."
ERPscanr,Automated analysis of the ERP literature.
DataScienceInPractice,Materials for learning the introductory hands-on data science.
IntroductoryPython,Materials for learning the Python programming language.
OscillationMethods,Methodological considerations for neural oscillations.
AperiodicMethods,Investigating methods for analyzing aperiodic neural activity.
HSUPipeline,Pipeline for single neuron tasks & analyses with human subjects.
spiketools,Analysis tools for single unit data.
SPSUnipi,
pydata,
xgcm,xarray-based tools for general circulation model analysis
pyqg,
pangeo-data,A community effort for big data geoscience
zarr-developers,Contributors to the Zarr open source project.
xarray-contrib,xarray compatible projects
ocean-transport,LDEO Ocean Transport Group
leap-stc,Learning the Earth with AI and Physics
cubed-dev,
benchmarking-rl,
PowerGridModel,Steady-state distribution power system analysis
ejm-programming-club,A high school programming club
Mapioi,
bluehands,
fnxt-js,
RESTyard,
TribeMC,
fhac-ewi,"This organization contains projects managed by students from the Master ""Energiewirtschaft und Informatik"" @FH Aachen."
electricitymaps,Mapping the carbon footprint of electricity worldwide
SciML,Open source software for scientific machine learning
BoxLib-Codes,A collection of codes built around the BoxLib adaptive mesh refinement library
AMReX-Codes,AMReX-Codes: Block-Structured AMR Software Framework and Applications
spack,"A flexible package manager that supports multiple versions, configurations, platforms, and compilers."
AMReX-Astro,The AMReX Astrophysics Suite: adaptive mesh refinement hydrodynamics codes for astrophysical flows.
ECP-WarpX,NOTE: We moved to https://github.com/BLAST-WarpX
AMReX-FHD,
Hi-PACE,
AMReX-Fluids,
BLAST-ImpactX,high-performance modeling of beam dynamics in particle accelerators with collective effects
BLAST-WarpX,WarpX is an advanced electromagnetic & electrostatic Particle-In-Cell code.
lanl-ansi,Los Alamos Advanced Network Science Initiative
JuliaAnimators,Easily construct informative and winsome animated graphics in Julia
python-spain,Asociación Python España
hackathongi,
GNUites,
securipy,
devnullteam,
pygrn,Som Gironins apassionats pel llenguatge de programació Python! 🐍🐍🐍
geekapalooza,
PyCampES,"El PyCamp es un evento sin fines de lucro que consiste en apoderarse de un lugar, nos juntamos a programar y divertirnos durante 4 días completos."
Andorra-Makers,
JuliaDiff,Differentiation Tools in Julia
JuliaMath,Mathematics made easy in Julia
JuliaLabs,
SciML,Open source software for scientific machine learning
JuliaLinearAlgebra,A collection of linear algebra packages for the Julia Programming Language.
JuliaBLAS,
JuliaSymbolics,A fast and modern CAS for a fast and modern language
JuliaPerf,
JuliaCommunity,Organizing Julia Community Initiatives
JuliaHealth,"Using the Julia programming language to improve medicine, health care, public health, and biomedical research."
JuliaStaging,"utilities to analyze, generate and evaluate julia code for multi-stage scenarios "
JuliaSIMD,
CNHOMO,这里聚集着所有中国的HOMO哦~！如果你是，快加入我们吧！可以随便上传代码哦~！这里放着中国HOMO们的成果！
robofit,
3S-Academy-NJTech,南京工业大学测绘科学与技术学院3S学社
aws,
awslabs,AWS Labs
aws-samples,
DestructHub,"This group focuses on developing solutions for problems on: computer science, mathematics, hacking and mystery."
kubernetes,Production-Grade Container Scheduling and Management
aws-controllers-k8s,
eksctl-io,Home for eksctl - The official CLI of Amazon EKS
llmnetes,
gdt-dev,Go Declarative Testing
kro-run,
energy-solution,
NREL-Sienna,Open Source Tools for Scientific Energy Systems Analysis
NLeSC,
lpoo,Repositório do Laboratório de Pesquisa Operacional e Otimização - LPOO
ufpr-opt,
JuliaSmoothOptimizers,Infrastructure and Solvers for Continuous Optimization in Julia
CiDAMO,"Grupo de Ciência de Dados, Aprendizagem de Máquina e Otimização"
jso-docs,
TulipaEnergy,Energy System Optimization Tools from TNO and eScience
wsp-sag,
patsec,
django-commons,
BoxLib-Codes,A collection of codes built around the BoxLib adaptive mesh refinement library
pynucastro,a python library for nuclear astrophysics
starkiller-astro,
AMReX-Astro,The AMReX Astrophysics Suite: adaptive mesh refinement hydrodynamics codes for astrophysical flows.
kepler-tools,"A github organization for collecting, sharing, and collaborating on tools facilitating use and analysis of the Kepler stellar evolution code."
thermocycle,
Pyomo,
ESTIASYSTEM,"Association ESTIA de robotique et mécatronique, participant à la Coupe de France de Robotique, à la Robocup et au Dassault UAV Challenge"
genai-impact,
pvlib,
dynawo,
PowerGrids,
OpenModelica,
atizo,
djng,Django & AngularJS Boilerplate
loladotdev,
AeroPython,
catalyst-cooperative,Catalyst is a small data engineering cooperative working on electricity regulation and climate change.
FGV-Energia,Centro de Estudos em Energia da Fundação Getúlio Vargas
gridlab-d,GridLAB-D is a distribution level power system simulator designed to allow users to create and analyze smart grid technologies.
GMLC-TDC,Repository for the GMLC TDC tool suite - HELICS
diesimo-ai,Simplifying vision technology to solve complex industrial challenges—one solution at a time 🤖
lab-101010,Open-Techlab for Makers.
rdmorganiser,
open-source-uc,"Community of students, alumni and professors from the Catholic University of Chile working together to create and maintain awesome open-source projects."
EDAE-Chile,Estudiantes por el desarrollo aeroespacial.
seguimos,Teclados contra el fascismo
america-transparente,We're a NGO focused on making open source tools for investigative journalism and state transparency throughout Latin America.
robotology,Group software repositories of the iCub eco-system (but code developed is not necessarily iCub specific!).
ISIR-SYROCO,
