id,url,name,source,category
adopt_net0,https://github.com/uu-er/adopt-net0,AdOpT-NET0,"openmod,pre-compiled",
amiris,https://gitlab.com/dlr-ve/esy/amiris/amiris,AMIRIS,"lf-energy-landscape,openmod",
andes,https://github.com/curent/andes,ANDES,"lf-energy-landscape,opensustain-tech",power-flow
antares_simulator,https://github.com/antaressimulatorteam/antares_simulator,"Antares Simulator,Antares_Simulator","lf-energy-landscape,opensustain-tech,pre-compiled",
anymod_jl,https://github.com/leonardgoeke/anymod.jl,AnyMOD.jl,"lf-energy-landscape,opensustain-tech,pre-compiled",
aristopy,https://git.tu-berlin.de/etus/public/aristopy,aristopy,pre-compiled,
asam,https://github.com/ancillaryservicesacquisitionmodel/asam,ASAM,openmod,
asset_level_transition_risk_in_the_global_coal__oil__and_gas_supply_chains,https://github.com/lkruitwagen/global-fossil-fuel-supply-chain,"Asset-level Transition Risk in the Global Coal, Oil, and Gas Supply Chains",lf-energy-landscape,
assume,https://github.com/assume-framework/assume,ASSUME,openmod,
backbone,https://gitlab.vtt.fi/backbone/backbone,"Backbone,backbone","g-pst,lf-energy-landscape,openmod,opensustain-tech,pre-compiled","capacity-expansion,production-cost"
balmorel,https://github.com/balmorelcommunity/balmorel,Balmorel,"lf-energy-landscape,openmod,opensustain-tech,pre-compiled",
bewhere_model,https://github.com/caaficus/bewhere-model,BeWhere-model,pre-compiled,
bluesky,https://github.com/eiagov/bluesky,BlueSky,"opensustain-tech,pre-compiled",
breakthrough_energy_model,https://github.com/breakthrough-energy,Breakthrough Energy Model,openmod,
bridges,https://github.com/stanford-eao/bridges,BRIDGES,pre-compiled,
calliope,https://github.com/calliope-project/calliope,"Calliope,calliope","g-pst,lf-energy-landscape,openmod,opensustain-tech,pre-compiled","capacity-expansion,production-cost"
capacityexpansion,https://github.com/youngfaithful/capacityexpansion.jl,"CapacityExpansion,CapacityExpansion.jl","lf-energy-landscape,openmod,opensustain-tech,pre-compiled",
capow,https://github.com/romulus97/capow_py36,CAPOW,openmod,
chronix2grid,https://github.com/grid2op/chronix2grid,chronix2grid,pre-compiled,
cimapplication,https://github.com/derrickoswald/cimapplication,CIMapplication,lf-energy-landscape,
comando,https://jugit.fz-juelich.de/iek-10/public/optimization/comando,comando,pre-compiled,
copper,https://gitlab.com/sesit/copper,"COPPER,copper","g-pst,opensustain-tech,pre-compiled",capacity-expansion
coral,https://github.com/nrel/coral,CORAL,lf-energy-landscape,
deeco,https://github.com/robbiemorrison/deeco,deeco,pre-compiled,
deflex,https://github.com/reegis/deflex,deflex,"lf-energy-landscape,opensustain-tech",
dieter_jl,https://gitlab.com/diw-evu/dieter_public/dieter.jl,DIETER.jl,pre-compiled,
dieter_py,https://gitlab.com/diw-evu/dieter_public/dieterpy,dieter_py,lf-energy-landscape,
digripy,https://github.com/lvorspel/digripy,DiGriPy,pre-compiled,
dispa_set,https://github.com/energy-modelling-toolkit/dispa-set,Dispa-SET,"lf-energy-landscape,opensustain-tech,pre-compiled",
dispatches,https://github.com/gmlc-dispatches/dispatches,DISPATCHES,opensustain-tech,
distaix,https://git.rwth-aachen.de/acs/public/simulation/distaixframework/distaix,DistAIX,"lf-energy-landscape,opensustain-tech",
dpsim,https://github.com/sogno-platform/dpsim,"DPSim,DPsim,dpsim","g-pst,opensustain-tech,pre-compiled",power-flow
draf,https://github.com/drafproject/draf,draf,lf-energy-landscape,
dss_capi,https://github.com/dss-extensions/dss_capi,dss_capi,pre-compiled,
dynawo,https://github.com/dynawo/dynawo,"Dynaωo,dynawo","opensustain-tech,pre-compiled",power-flow
dynelmod_public,https://gitlab.tubit.tu-berlin.de/wip/dynelmod_public,dynelmod_public,pre-compiled,
easy_simauto,https://github.com/mzy2240/esa,Easy SimAuto,opensustain-tech,
edisgo,https://github.com/openego/edisgo,eDisGo,opensustain-tech,
ego,https://github.com/openego/ego,"eGo,eGon","lf-energy-landscape,pre-compiled",
egret,https://github.com/grid-parity-exchange/egret,Egret,"opensustain-tech,pre-compiled","production-cost,power-flow"
electricgrid_jl,https://github.com/upb-lea/electricgrid.jl,ElectricGrid.jl,opensustain-tech,
em_power_invest,https://github.com/btu-enerecon/em.power-invest,EM.POWER-INVEST,pre-compiled,
emerge,https://github.com/nrel/emerge,EMeRGE,pre-compiled,
emlab_generation,https://github.com/emlab/emlab-generation,EMLab-Generation,openmod,
emma,https://github.com/emma-model/emma,EMMA,"lf-energy-landscape,pre-compiled",
emprise,https://github.com/philipphaertel/emprise,EMPRISE,pre-compiled,
enerflow,https://github.com/rebase-energy/enflow,"enerflow,enflow","opensustain-tech,pre-compiled",
energy_policy_simulator,https://github.com/energyinnovation/eps-us,Energy Policy Simulator,"lf-energy-landscape,openmod",
energy_py,https://github.com/adgefficiency/energy-py,energy-py,"lf-energy-landscape,opensustain-tech",
energy_py_linear,https://github.com/adgefficiency/energy-py-linear,energy-py-linear,"lf-energy-landscape,opensustain-tech",
energy_system_simulation_and_optimization,https://github.com/akkudoktor-eos/eos,Energy System Simulation and Optimization,opensustain-tech,production-cost
