,description
JuliaArrays,Custom array types (and utilities for building array types) for Julia
JuliaCollections,"Collections, Data Structures, and Algorithms for Julia"
FluxML,The Elegant Machine Learning Stack
JuliaRegistries,
JuliaStrings,
JuliaLinearAlgebra,A collection of linear algebra packages for the Julia Programming Language.
JuliaSymbolics,A fast and modern CAS for a fast and modern language
JuliaBinaryWrappers,Autogenerated Julia packages for usage with BinaryBuilder and Pkg
JuliaActuary,Actuarial science and modeling packages.
JuliaCommunity,Organizing Julia Community Initiatives
JuliaActions,Please visit https://github.com/julia-actions
JuliaHealth,"Using the Julia programming language to improve medicine, health care, public health, and biomedical research."
JuliaTesting,Testing tools for the Julia language
JuliaVersionControl,
JuliaSIMD,
JuliaEcosystem,
JuliaConcurrent,
PumasAI-Labs,"One powerful platform, Infinite potential."
JuliaFolds2,"JuliaFolds2 is the forked successor to JuliaFolds, and hosts Julia packages for sequential and parallel fold (aka reduce) algorithms"
IgnitedAndExploded,
OpenDataMap,
BYteWareGmbH,
code-for-venezuela,
mammut-io,ML - Computational Linguistics - NLP - NLU - Chatbots
oemof-heat,Modelling energy systems with focus on heat and power-to-heat using oemof
EPSRC-DIGEST,
SciML,Open source software for scientific machine learning
casbin,Casbin authorization library and the official middlewares
casdoor,An Identity and Access Management (IAM) / Single-Sign-On (SSO) platform with beautiful web UI and the official client SDKs
SciFracX,Make fractional order computing and modeling easier than ever.
trixi-gpu,GPU acceleration for hyperbolic PDEs in Julia
chalk-lab,Hong Ge's Research Group at Cambridge University
Zenmo,
psas,Open source aerospace project out of Portland State University.
dragonflyoss,Dragonfly is an open source P2P-based file and image distribution system.
flixOpt,
JuliaEnergy,
PIK-ICoNe,"Dynamics, stability and resilience of complex hybrid infrastructure networks"
collective,Plone/Volto add-ons shared code repositories
beerjs,"visit the ""meta"" repo for info"
EpicGames,
Quora-Users,Unofficial Quora users group on GitHub
opprDev,oppr Developer Team
opprEdu,oppr Education Team
opprGroup,oppr Group
MIMBCD-UI,A Medical Imaging study for Multimodality of Breast Cancer Diagnosis on a novel User Interface.
ETIST,Equipa de Ténis do Instituto Superior Técnico
HPQC-LABS,"High Performance & Quantum Computing. We solve problems on classical & quantum computers. Areas are: Physics, Chemistry, Health Science, Medicine, Computation"
mida-project,A Medical Imaging for a Diagnostic Assistance.
BreastScreening,
sipg-isr,Signal and Image Processing Group -ISR research group
BreastScreeningAI,
FRESNA,Repository of FRESNA (FIAS Renewable Energy Systems & Network Analysis)
EpicGames,
NVIDIAGameWorks,NVIDIA Technologies for game and application developers
EddieHubCommunity,"Community of inclusive Open Source people - Collaboration 1st, Code 2nd! Join our GitHub Org 👇"
CREA-ETSIDI,"Somos una asociación de estudiantes en la ETSIDI, UPM. Nos apasiona el mundo tecnológico y la programación."
LEEM-UPM,
OpenEnergyPlatform,The Open Energy Family and Open Energy Platform
NFDI4Energy,National Research Data Infrastructure for the Interdisciplinary Energy System Research
open-pv,Building the open source website openpv.de to evaluate the solar potential of your building :sunny:
Solar4cast,
OFFIS-DIP,"Data Integration and Processing (DIP) Group, OFFIS e.V."
RAMP-project,Stochastic multi-energy load profiles
oemof,Open Energy Modelling Framework - A modular open source framework to model energy supply systems
TuringLang,Bayesian inference with probabilistic programming
NREL-Sienna,Open Source Tools for Scientific Energy Systems Analysis
pypsa-meets-earth,An open source energy system model initiative for our Earth
open-energy-transition,Non-profit that accelerates the energy transition with open data and open source software solutions.
Ouch-Metaverse-Dao,"Ouch is an upcoming sensorial metaverse project leveraging web3, AI and VR tools (OVR, haptics, etc) for creating social and dating experiences"
uclchem,"Members of the UCL Astronomy group creating, maintaining and using UCLCHEM"
PhIMaL,
QueSDP,Studying applications of semi-definite programming in queuing theory
tsinghua-TEEP,An educational program aiming to resolve the Tsien's question.
Lean-zh,
powsybl,Power System Blocks
chargebyte,
BBH-Consulting-collaboration,
numfocus,Non-profit organization promoting accessible and reproducible scientific and technical computing
OpenMined,
oahmedlab,
NeuroHackademy2024,
openego,open electricity Grid optimization
BTU-EnerEcon,BTU Chair of Energy Economics
GreenDealUkraina,"Berlin and Kyiv-based climate and energy think tank that supports Ukrainian governmental institutions, policymakers, experts, and wider society."
IBM,Open Source @ IBM
OpenModelica,
DEA-GE,We share best practice from the green transition in Denmark through government-to-government cooperation.
rnajena,
MechatronicsBlog,"Artificial intelligence, programming and embedded devices"
Energies-citoyennes-en-Pays-de-Vilaine,
JuliaLang,The Julia Programming Language
JuliaComputing,
JuliaStrings,
ESICUP,"The working group on Cutting and Packing within EURO, the Association of the European Operational Research Societies."
llvm,This is the LLVM organization on GitHub for the LLVM Project: a collection of modular and reusable compiler and toolchain technologies.
PowerGridModel,Steady-state distribution power system analysis
Infopy,Study group for functional and object oriented programming (FOP)
tuda-typst,Inofficial Typst templates for the Technical University of Darmstadt
xenia-project,Xbox 360 Emulator Research Project
codecentric,
llvm,This is the LLVM organization on GitHub for the LLVM Project: a collection of modular and reusable compiler and toolchain technologies.
curiositas-books,
Alliander,Alliander werkt aan de energie van vandaag en morgen
alliander-opensource,Open Source repositories from Alliander. Interested? Send us an e-mail!
NBility-Model,
lfenergyarchitecturemodel,
ospo-nl,"Open Source Program Office collaboration, best practices of NL parties"
PowerGridModel,Steady-state distribution power system analysis
sysmodel,System-Level Model Development Engineering Lab: Bringing Clarity to Complex Systems
EnergyModelsX,
typed-typings,"Deprecated, use @types. The collection of TypeScript definitions"
JuliaLang,The Julia Programming Language
JuliaStats,Statistics and Machine Learning made easy in Julia
JuliaSparse,Sparse matrix capabilties in the Julia Programming Language
JuliaGraphics,
JuliaIO,A collection of Julia packages for unified IO infrastructure
JuliaPackaging,Tooling for Julia's binary packages and dependencies
JuliaMath,Mathematics made easy in Julia
JuliaDocs,Documentation-related packages for Julia.
JuliaData,"Data manipulation, storage, and I/O in Julia"
JuliaRegistries,
JuliaStrings,
JuliaDebug,
JuliaTesting,Testing tools for the Julia language
rezometz,The association in charge of providing an Internet access to CentraleSupélec (Metz) students
comet-robot,
bible-sacy,Sources du site https://bible.sacy.be qui permet de consulter des numérisations effectuées par Google de la Bible de Sacy (ou de Port-Royal)
ChaosSchulInformatiker,Some very cool guys from the school class Q12
Valama,
RIOT-OS,The friendly Operating System for the Internet of Things
flojoy-ai,Joyful visual programming in Python
latenthost,
PowerGridModel,Steady-state distribution power system analysis
netz39,Magdeburger Hackerspace
FreifunkMD,
nettworks-e-V,
JuliaCommunity,Organizing Julia Community Initiatives
geem-lab,⚛️📈 Molecular Electronic Structure Group
JuliaChemicalReactions,An organization focused on development of chemical reactions tools
WebSearchMol,
HartreeFoca,A computational chemistry software based on McMurchie Davidson and Neural Networks
ENVIRO-Module,
LIVENlab,"These are the research and education repositories of the Research lab on environmental assessment for the energy transition, based at ICTA-UAB"
PIK-ICoNe,"Dynamics, stability and resilience of complex hybrid infrastructure networks"
DiscUtils,
OrganizacaoRamalho,
openego,open electricity Grid optimization
rl-institut,
ReeemProject,Role of technologies in an energy efficient economy – model based analysis policy measures and transformation pathways to a sustainable energy system
OpenEnergyPlatform,The Open Energy Family and Open Energy Platform
NFDI4Energy,National Research Data Infrastructure for the Interdisciplinary Energy System Research
protontypes,A Free Community Accelerating Open and Sustainable Technology
Autonomous-Logistics,An Organisation at StreetScooter and DPDHL
opencorridor,Democratising sustainability intelligence 🌐🌎
open-energy-transition,Non-profit that accelerates the energy transition with open data and open source software solutions.
EpicGames,
dataAt,
IDAES,Institute for the Design of Advanced Energy Systems
CCSI-Toolset,The Carbon Capture Simulation Initiative (CCSI) Toolset is a suite of computational models for carbon capture equipment and design processes.
energy-modelling-toolkit,A fully open inter-institutional energy modelling group. It serves as an umbrella organization that hosts open datasets and models.
IIT-EnergySystemModels,Analysis and design of regulatory policies for the energy transition evaluated using decision-support models and in the technical and economic analysis of gene
coala,
cire-thk,Open source projects: Team Cologne Institute for Renewable Energy of University of Applied Sciences of Cologne (TH Köln)
th-koeln-iet,
eclipse,
EIPStackGroup,Open Source EtherNet/IP implementations
eclipse-4diac,
microsoft,Open source projects and samples from Microsoft
dotnet,Home of the open source .NET platform
MicrosoftEdge,"Microsoft Edge open source projects - demos, tools, data"
MicrosoftWHATWGContributors,
NatLabRockies,
BuildingPerformanceSimulation,Community discussion and development of building performance simulation topics and tools.
InteragencyHotshotCrews,
GSH-LAN,
CIRAIG,
itesla,
OpenIPSL,An team of collaborators developing the OpenIPSL Modelica library for power system simulations and other related oss projects in power system modeling and sim.
groupoasys,
ipython,interactive computing in Python
NatLabRockies,
OST-Stud,"Wenn du das erste mal auf @OST-Stud bist, sieh dir das Repo Willkommen an. Bei Fragen, E-Mail an  fachschaft-e@ost.ch"
openhsr,Wir fördern die Open Source Community und alternative Betriebssysteme an der HSR.
UNSW-CEEM,
Tithibots,Python Bots
TrashMate,
Indian-Online-Education-Environment,
DeepRank,
EddieHubCommunity,"Community of inclusive Open Source people - Collaboration 1st, Code 2nd! Join our GitHub Org 👇"
dss-extensions,Language interfaces and extensions for an alternative implementation of EPRI's OpenDSS
RWTH-EBC,
TemoaProject,An open source energy system model
TUHH-ICS,
RoboCup-SPL,RoboCup Standard Platform League
switch-model,Optimal planning model for power systems with large shares of renewable energy
opensistemas-hub,
aereset,
cloudpipe,
CojoCompany,
Soundphy,
markdownreveal,
Bulebots,
sphinx-contrib,A collection of Sphinx extensions maintained by their respective authors. It is not an official part of Sphinx.
open-robosports,
micromouseworld,
pvlib,
agoenergy,"Agora Energiewende is a think tank that develops evidence-based and politically viable strategies to advance the goal of climate neutrality in Germany, Europe,"
RITRedteam,Various public projects from RITSEC Redteam members. ALL PROJECTS ARE PROVIDED AS IS WITH NO WARRANTY.
ritsec,"RITSEC is a student run club at Rochester Institute of Technology. For the redteam repositories, check out https://github.com/ritredteam/"
ml6team,Leading European AI organization
spec-first,
sat-clique,
wasmi-labs,Developers of the Wasmi WebAssembly interpreter and associated projects.
IDAES,Institute for the Design of Advanced Energy Systems
BieglersGroup,
Schraml,Führender Anbieter für Prozessleitsysteme und Fernwirktechnik
ropensci,Tools and R Packages for Open Science
MassAtLeeds,
npct,Building the Propensity to Cycle Tool for the UK's Department for Transport
itsleeds,
geocompr,
ATFutures,Active Transport Futures
PieceWiseProjects,
wearehx,
JuliaEnergy,
oemof,Open Energy Modelling Framework - A modular open source framework to model energy supply systems
wind-python,
DAISEE,Open design program for people who consider energy as a commons. We're going to build the 'internets of energy'.
FitTrackee,
NetbeheerNederland,Netbeheer Nederland is de brancheorganisatie van alle elektriciteit- en gasnetbeheerders van Nederland.
lf-energy,Bringing open source to the energy sector
com-pas,61850 SCL management and configuration tool
openscd,
netlogix,Digital Platform Architects
confluentinc,Real-time streams powered by Apache Kafka®
open-energy-transition,Non-profit that accelerates the energy transition with open data and open source software solutions.
PerformanceEstimation,
MaREI-EPMG,
JabRef,
HaxeFoundation,
vshaxe,Everything about the Haxe-VSCode tandem
JuliaGPU,GPU Computing in Julia
NVIDIAGameWorks,NVIDIA Technologies for game and application developers
JuliaGraphics,
JuliaGL,Julia packages for the OpenGL API and ecosystem.
JuliaGraphs,Graph modeling and analysis packages for the Julia programming language
JuliaGeometry,Computational Geometry with Julia
JuliaIO,A collection of Julia packages for unified IO infrastructure
JuliaImages,Julia packages for image processing
JuliaPlots,Data visualization in Julia
JuliaPackaging,Tooling for Julia's binary packages and dependencies
JuliaArrays,Custom array types (and utilities for building array types) for Julia
JuliaGizmos,A garage in dimension c-137
MakieOrg,Organization for the Makie plotting ecosystem
powsybl,Power System Blocks
JuliaSparse,Sparse matrix capabilties in the Julia Programming Language
RISPLab,"With RISP, no RISK. Do Planning, to prevent Killing."
modelica,Projects of the Modelica Association
JuliaGeo,"JuliaGeo is a community of researchers, engineers and others interested in working with spatial data in Julia."
EpicGames,
NVIDIAGameWorks,NVIDIA Technologies for game and application developers
JuliaLang,The Julia Programming Language
recursecenter,
JuliaQuant,
JuliaDatabases,Various database drivers for Julia
JuliaComputing,
JuliaIO,A collection of Julia packages for unified IO infrastructure
NYU-MSDSE-SWG,
JuliaML,Julia packages for Machine Learning
JuliaTime,Date and Time libraries for the Julia Language
JuliaData,"Data manipulation, storage, and I/O in Julia"
JuliaCrypto,Cryptography made easy in Julia
JuliaCloud,Cloud service interfaces for Julia
JuliaStrings,
JuliaActuary,Actuarial science and modeling packages.
JuliaLangSlack,Projects built to enable the Julia Lang community Slack workspace
JuliaActions,Please visit https://github.com/julia-actions
JuliaTesting,Testing tools for the Julia language
JuliaRNGs,
JuliaVersionControl,
JuliaFolds2,"JuliaFolds2 is the forked successor to JuliaFolds, and hosts Julia packages for sequential and parallel fold (aka reduce) algorithms"
googlers,Googlers on GitHub
MicroGridsPy,
Ubar,
lab10-coop,Sustainable blockchain solutions to co-create a zero-carbon society.
artis-eco,
Design-and-Code,"Connect, Collaborate and Comprehend."
nsec,Applied Security Competition
pnfsoftware,"Sample code, scripts and plugins for JEB Decompiler - Twitter @jebdec"
powsybl,Power System Blocks
IBM,Open Source @ IBM
OrderlyNetwork,The permissionless liquidity layer for Web3 trading
spine-tools,Open source modelling tools
vttresearch,VTT Technical Research Centre of Finland Ltd
atom-community,Brings an integrated development environment to Atom
vc-assist,"Student-run, not-for-profit organization enhancing digital educational infrastructure at Valley Christian Schools (VCS)."
vcsdclub,Valley Christian High School's Software Development Club
SalonDesDevs,Communauté française de développement
RPM-Outpost,"RPM Packages for Fedora, OpenSUSE and Mageia"
alumet-dev,"Development of the ALUMET measurement software for efficient and sustainable computing (Adaptive, Lightweight, Unified Metrics)"
JuliaHEP,Open-Source Julia projects for particle physics
PROSOZ,
artesa,
Strukturpiloten,
Alliander,Alliander werkt aan de energie van vandaag en morgen
PowerGridModel,Steady-state distribution power system analysis
JabRef,
esk8b,Opensource Elektro-Skateboard Projekt
syncpoint,
dodevops,Tools by DevOps architects for DevOps architects
EXXETA,"Exxeta challenges the traditional concept of consulting and tech. We love making an impact, with digital services powered by passion and new perspectives."
llnl,"For over 70 years, the Lawrence Livermore National Laboratory has applied science and technology to make the world a safer place."
NIFVentures,
voytekresearch,Code & projects from the Voytek lab at UC San Diego.
COGS108,Course materials for Data Science in Practice
COGS18,COGS18: Introduction to Python
fooof-tools,Parameterizing Neural Power Spectra
lisc-tools,Automated collection & analysis of scientific literature.
neurodsp-tools,Digital signal processing for neuroscience.
bycycle-tools,Cycle-by-Cycle analyses of neural oscillations.
openlists,Curated lists of Open Resources.
structuredscience,"Tools, templates, tips & tricks for organized science."
ERPscanr,Automated analysis of the ERP literature.
DataScienceInPractice,Materials for learning the introductory hands-on data science.
IntroductoryPython,Materials for learning the Python programming language.
OscillationMethods,Methodological considerations for neural oscillations.
AperiodicMethods,Investigating methods for analyzing aperiodic neural activity.
HSNPipeline,A pipeline for human single-neuron projects.
spiketools,Analysis tools for single unit data.
TimeSeriesZoo,
SPSUnipi,
pydata,
xgcm,xarray-based tools for general circulation model analysis
pyqg,
pangeo-data,A community effort for big data geoscience
zarr-developers,Contributors to the Zarr open source project.
xarray-contrib,xarray compatible projects
ocean-transport,LDEO Ocean Transport Group
earth-mover,The cloud platform for scientific data teams
cubed-dev,
PowerGridModel,Steady-state distribution power system analysis
open-energy-transition,Non-profit that accelerates the energy transition with open data and open source software solutions.
powsybl,Power System Blocks
TribeMC,
fhac-ewi,"This organization contains projects managed by students from the Master ""Energiewirtschaft und Informatik"" @FH Aachen."
SciML,Open source software for scientific machine learning
BoxLib-Codes,A collection of codes built around the BoxLib adaptive mesh refinement library
AMReX-Codes,AMReX-Codes: Block-Structured AMR Software Framework and Applications
spack,"A flexible package manager that supports multiple versions, configurations, platforms, and compilers."
AMReX-Astro,The AMReX Astrophysics Suite: adaptive mesh refinement hydrodynamics codes for astrophysical flows.
ECP-WarpX,NOTE: We moved to https://github.com/BLAST-WarpX and https://github.com/BLAST-ImpactX
AMReX-FHD,
Hi-PACE,
AMReX-Fluids,
BLAST-ImpactX,high-performance modeling of beam dynamics in particle accelerators with collective effects
BLAST-WarpX,WarpX is an advanced electromagnetic & electrostatic Particle-In-Cell code.
KuantumBS,KuantumBS: Kuantum Bilgi Sistemleri (KBSr): Quantum Information Systems: QISs
lanl-ansi,Los Alamos Advanced Network Science Initiative
MATPOWER,
python-spain,Asociación Python España
hackathongi,
GNUites,
securipy,
devnullteam,
pygrn,Som Gironins apassionats pel llenguatge de programació Python! 🐍🐍🐍
geekapalooza,
PyCampES,"El PyCamp es un evento sin fines de lucro que consiste en apoderarse de un lugar, nos juntamos a programar y divertirnos durante 4 días completos."
Andorra-Makers,
JuliaDiff,Differentiation Tools in Julia
JuliaMath,Mathematics made easy in Julia
JuliaLabs,
SciML,Open source software for scientific machine learning
JuliaLinearAlgebra,A collection of linear algebra packages for the Julia Programming Language.
JuliaBLAS,
JuliaSymbolics,A fast and modern CAS for a fast and modern language
JuliaPerf,
JuliaCommunity,Organizing Julia Community Initiatives
JuliaHealth,"Using the Julia programming language to improve medicine, health care, public health, and biomedical research."
JuliaStaging,"utilities to analyze, generate and evaluate julia code for multi-stage scenarios"
JuliaSIMD,
kubernetes,Production-Grade Container Scheduling and Management
kubernetes-sigs,Org for Kubernetes SIG-related work
energy-solution,
NREL-Sienna,Open Source Tools for Scientific Energy Systems Analysis
NLeSC,
lpoo,Repositório do Laboratório de Pesquisa Operacional e Otimização - LPOO
ufpr-opt,
JuliaSmoothOptimizers,Infrastructure and Solvers for Continuous Optimization in Julia
CiDAMO,"Grupo de Ciência de Dados, Aprendizagem de Máquina e Otimização"
jso-docs,
TulipaEnergy,Energy System Optimization Tools from TNO and eScience
patsec,
django-commons,
BoxLib-Codes,A collection of codes built around the BoxLib adaptive mesh refinement library
pynucastro,a python library for nuclear astrophysics
starkiller-astro,
AMReX-Astro,The AMReX Astrophysics Suite: adaptive mesh refinement hydrodynamics codes for astrophysical flows.
kepler-tools,"A github organization for collecting, sharing, and collaborating on tools facilitating use and analysis of the Kepler stellar evolution code."
thermocycle,
Pyomo,
ESTIASYSTEM,"Association ESTIA de robotique et mécatronique, participant à la Coupe de France de Robotique, à la Robocup et au Dassault UAV Challenge"
pvlib,
PowerGrids,
OpenModelica,
AeroPython,
catalyst-cooperative,Catalyst is a small data engineering cooperative working on electricity regulation and climate change.
FGV-Energia,Centro de Estudos em Energia da Fundação Getúlio Vargas
gridlab-d,GridLAB-D is a distribution level power system simulator designed to allow users to create and analyze smart grid technologies.
GMLC-TDC,Repository for the GMLC TDC tool suite - HELICS
EpicGames,
AIEADA,
Flash-X,All things related to Flash-X multiphysics software
Box-Tools,Forks and helper tools for block-structured datasets
CROCUS-Urban,CROCUS Project
Lab-Notebooks,Reproducibility capsules and execution environments for computational experiments
JuliaOceanWaves,
NixOS,
cvxgrp,
ODINN-SciML,Global climate-glacier interactions modelling with Universal Differential Equations
erasmus-mundus-geotech-master,"Students, professors and graduates of the Erasmus Mundus Master of Science in Geospatial Technologies."
Doshy-Org,Organization dedicated to developing free & open source projects
palma-ice,
Human-Lambdas,
treebeardtech,Scaling machine learning operations in Kubernetes
flexiblepower,FAN is open standard and implementation that connects devices with energy management services.
NatLabRockies,
mit,"For students/alumni/staff/MIT affiliates! To join, email with GitHub+Athena usernames."
JuliaLabs,
JuliaClimate,
CliMA,The next generation of climate models. Built in the open.
RoseauTechnologies,
Ingenieria-Electrica-UdeA,
citiususc,Centro Singular de Investigación en Tecnoloxías Intelixenteas da Universidade de Santiago de Compostela
magnasco,Development initiatives & technical assistance
JuliaGPU,GPU Computing in Julia
JuliaSparse,Sparse matrix capabilties in the Julia Programming Language
JuliaSmoothOptimizers,Infrastructure and Solvers for Continuous Optimization in Julia
JuliaLinearAlgebra,A collection of linear algebra packages for the Julia Programming Language.
exanauts,An eclectic collection of ECP ExaSGD project codes
MadNLP,
xmpppy,
zerotired,
crate,The Database for Real-Time Analytics and Hybrid Search
conda-forge,"A community led collection of recipes, build infrastructure and distributions for the conda package manager."
hiveeyes,"A flexible beehive monitoring system based on affordable hardware, wireless telemetry and modern software. Open source, open hardware and a friendly community."
ip-tools,Open source patent data processing software
daq-tools,"Open source data acquisition, processing and visualization software"
tunfish,A VPN infrastructure based on WireGuard.
posterkit,Your lovely poster production toolkit
media-toolbox,
panodata,"Open data, beautiful visualizations, sensible discussions."
earthobservations,
cicerops,Little programs for sweet operations.
mqtt-tools,"MQTT utilities across the board. Open source, and a friendly community."
wireviz,
pyveci,"Python, mostly."
singer-contrib,A few components adhering to the Singer specification for composable open source ETL.
tech-writing,"Discourse, GitHub, Sphinx, mostly."
kollapsfunk,"Discussing radio systems using LoRa and related technologies. Open source, open hardware, and a friendly community."
switch-model,Optimal planning model for power systems with large shares of renewable energy
blue-marble,
evcc-io,solar charging ☀️🚗
rlai-lab,
protontypes,A Free Community Accelerating Open and Sustainable Technology
LAMPSPUC,"Laboratory for research and development on mathematical programming (optimization) and statistics. Electrical and Industrial Engineering departments, PUC-Rio."
soreva,
sgs-weather-and-environmental-systems,
irasus-technologies,
gymneus,
tonbo-imaging,
powsybl,Power System Blocks
JuliaEnergy,
iiasa,International Institute for Applied Systems Analysis
Jugendhackt,
bitcoinaustria,
novid20org,
JuliaLang,The Julia Programming Language
numfocus,Non-profit organization promoting accessible and reproducible scientific and technical computing
JuliaStats,Statistics and Machine Learning made easy in Julia
JuliaOpt,(Obsolete organization; see github.com/jump-dev) Mathematical Optimization in Julia
JuliaCon,The Julia Conference
JuliaDiff,Differentiation Tools in Julia
JuliaSparse,Sparse matrix capabilties in the Julia Programming Language
JuliaWeb,Web technologies in the Julia Programming Language
JuliaCI,Continuous integration (CI) support for the Julia programming language
JuliaIO,A collection of Julia packages for unified IO infrastructure
JuliaPackaging,Tooling for Julia's binary packages and dependencies
JuliaMath,Mathematics made easy in Julia
JuliaDocs,Documentation-related packages for Julia.
JuliaTime,Date and Time libraries for the Julia Language
JuliaData,"Data manipulation, storage, and I/O in Julia"
JuliaLabs,
JuliaInterop,Easy interoperability between Julia and other languages
JuliaCloud,Cloud service interfaces for Julia
JuliaArrays,Custom array types (and utilities for building array types) for Julia
JuliaCollections,"Collections, Data Structures, and Algorithms for Julia"
JuliaRegistries,
JuliaStrings,
JuliaLinearAlgebra,A collection of linear algebra packages for the Julia Programming Language.
beacon-biosignals,
